,No.,request,response
95,186,0,0.8065
96,823,0,0.2158
97,158,1,0.8778
98,469,0,0.4988
99,137,0,0.6046
100,205,0,0.661
101,930,0,0.7211
102,227,0,0.4578
103,980,0,0.4547
104,197,0,0.8437
105,434,1,0.5084
106,32,0,0.782
107,822,0,0.7093
108,988,1,0.6043
109,36,0,0.582
110,400,0,0.955
111,245,0,0.5474
112,614,0,0.6953
113,603,0,0.4665
114,982,0,0.8348
115,742,1,0.7597
116,875,0,0.9797
117,807,0,0.7068
118,509,0,0.4283
119,991,0,0.8787
120,489,0,0.5191
121,564,0,0.7722
122,237,0,0.427
123,885,0,0.7425
124,247,0,0.7573
125,534,0,0.8919
126,481,1,0.7347
127,957,0,0.4662
128,495,0,0.6515
129,780,0,0.5997
130,35,1,0.8455
131,893,0,0.8817
132,578,0,0.9626
133,168,0,0.5696
134,487,0,0.7986
135,767,0,0.4503
136,475,0,0.5913
137,944,0,0.5604
138,703,1,0.4758
139,276,1,0.63
140,789,1,0.6809
141,880,1,0.4779
142,574,0,0.9423
143,569,1,0.9655
144,925,0,0.9063
145,61,0,0.8166
146,829,0,0.7081
147,444,0,0.5497
148,355,0,0.7906
149,325,0,0.9864
150,579,0,0.926
151,608,0,0.691
152,900,0,0.8022
153,849,0,0.6628
154,86,0,0.4223
155,813,0,0.9464
156,157,1,0.8625
157,820,1,0.7992
158,886,0,0.4844
159,784,1,0.4524
160,694,0,0.8637
161,261,0,0.9877
162,572,0,0.4568
163,292,1,0.8495
164,283,0,0.8806
165,381,0,0.3692
166,860,0,0.8223
167,947,0,0.932
168,733,0,0.882
169,468,1,0.7254
170,769,1,0.7107
171,310,1,0.59
172,618,0,0.885
173,117,0,0.6033
174,584,0,0.4445
175,239,0,0.4261
176,531,0,0.7208
177,537,0,0.5832
178,756,0,0.4693
179,622,0,0.9831
180,330,0,0.9762
181,372,1,0.6798
182,259,0,0.9254
183,270,1,0.8974
184,850,0,0.5699
185,105,0,0.5651
186,802,0,0.5578
187,109,0,0.5525
188,90,0,0.8496
189,594,0,0.8553
190,627,1,0.8096
191,704,1,0.5486
192,167,0,0.8075
193,332,0,0.7217
194,404,0,0.791
195,111,0,0.9367
196,590,0,0.6882
197,188,0,0.3464
198,515,0,0.6947
199,557,1,0.3526
200,6,0,0.6079
201,826,0,0.587
202,556,0,0.4717
203,629,0,0.7607
204,948,0,0.5256
205,110,1,0.3603
206,899,1,0.4876
207,40,0,0.5847
208,358,0,0.6152
209,399,1,0.6298
210,345,0,0.9314
211,552,0,0.6872
212,737,1,0.9648
213,882,0,0.981
214,761,0,0.4889
215,671,0,0.7041
216,678,0,0.7248
217,9,0,0.73
218,455,0,0.4271
219,650,0,0.9972
220,152,0,0.5546
221,915,0,0.4218
222,382,0,0.4692
223,192,0,0.9362
224,282,0,0.7649
225,936,0,0.7079
226,340,0,0.7731
227,706,0,0.9455
228,668,1,0.7659
229,95,1,0.5057
230,300,0,0.8775
231,4,0,0.9981
232,367,0,0.7309
233,896,0,0.5507
234,714,0,0.934
235,0,0,0.9713
236,26,1,0.4161
237,970,0,0.9411
238,644,0,0.5689
239,909,0,0.8083
240,691,1,0.7782
241,924,0,0.8166
242,207,0,0.9799
243,398,0,0.9624
244,131,0,0.4672
245,647,0,0.6546
246,576,0,0.4629
247,479,1,0.7141
248,212,1,0.8393
249,120,1,0.6779
250,776,1,0.8878
251,252,0,0.9419
252,662,0,0.8809
253,336,1,0.6981
254,610,1,0.8011
255,385,0,0.7882
256,542,1,0.5954
257,680,0,0.8254
258,868,0,0.9458
259,943,0,0.5923
260,296,1,0.3937
261,914,0,0.7125
262,413,0,0.6735
263,221,0,0.436
264,383,0,0.5233
265,777,0,0.9462
266,654,0,0.715
267,253,0,0.9961
268,548,0,0.4298
269,115,1,0.6016
270,505,0,0.6568
271,543,0,0.4644
272,838,0,0.8281
273,162,0,0.562
274,198,0,0.6407
275,139,0,0.736
276,365,0,0.9412
277,45,1,0.4463
278,520,1,0.7641
279,664,0,0.9679
280,765,0,0.8006
281,615,0,0.3526
282,869,0,0.817
283,132,1,0.8331
284,12,0,0.9542
285,724,1,0.4664
286,700,0,0.7462
287,817,0,0.8018
288,453,0,0.3967
289,953,0,0.9244
290,451,0,0.9946
291,693,0,0.7449
292,651,0,0.388
293,904,0,0.7373
294,43,1,0.6412
295,965,0,0.7425
296,796,0,0.7134
297,463,0,0.968
298,635,0,0.7944
299,757,0,0.4824
300,315,1,0.4717
301,442,1,0.9907
302,101,0,0.6511
303,193,0,0.7946
304,249,0,0.9757
305,423,1,0.8892
306,935,0,0.9728
307,436,0,0.9501
308,165,0,0.4841
309,723,0,0.4928
310,922,0,0.8714
311,231,0,0.555
312,298,0,0.5704
313,421,0,0.9188
314,847,1,0.5194
315,878,0,0.8939
316,303,1,0.8067
317,393,1,0.9615
318,100,0,0.3938
319,522,0,0.39
320,269,0,0.4474
321,275,1,0.3712
322,591,0,0.4954
323,50,0,0.9071
324,621,0,0.8103
325,547,0,0.5641
326,549,1,0.3694
327,347,0,0.9124
328,70,1,0.9981
329,228,0,0.3759
330,763,0,0.895
331,30,1,0.9649
332,480,0,0.5379
333,699,0,0.5532
334,44,0,0.473
335,550,1,0.6131
336,997,0,0.9451
337,183,0,0.7888
338,609,1,0.9858
339,392,0,0.4712
340,38,0,0.9784
341,718,0,0.8468
342,130,0,0.5449
343,194,1,0.8325
344,191,0,0.3592
345,986,0,0.5055
346,246,0,0.4768
347,713,0,0.5988
348,129,0,0.752
349,540,0,0.8316
350,172,0,0.6145
351,871,1,0.5097
352,331,0,0.3983
353,701,0,0.4927
354,428,0,0.8035
355,7,0,0.6336
356,708,1,0.7477
357,185,1,0.844
358,588,0,0.7556
359,892,0,0.9638
360,856,0,0.5305
361,788,1,0.4604
362,182,0,0.4933
363,973,0,0.9247
364,19,1,0.4667
365,153,1,0.8555
366,415,1,0.7226
367,971,0,0.4098
368,271,0,0.5039
369,758,1,0.6996
370,794,0,0.9085
371,250,0,0.7761
372,377,0,0.8849
373,937,1,0.9868
374,728,0,0.4243
375,656,0,0.6431
376,125,0,0.3573
377,145,1,0.6075
378,994,0,0.8253
379,931,0,0.9152
380,23,0,0.6451
381,440,0,0.7158
382,711,0,0.5826
383,619,1,0.4282
384,214,0,0.3896
385,620,0,0.7576
386,448,0,0.916
387,523,1,0.3752
388,814,0,0.5057
389,670,0,0.9588
390,684,0,0.7538
391,681,0,0.8682
392,966,0,0.6727
393,908,0,0.6529
394,836,0,0.4617
395,279,0,0.6226
396,507,0,0.5044
397,934,0,0.9775
398,719,0,0.9374
399,200,0,0.5232
400,959,0,0.7042
401,414,0,0.6707
402,846,0,0.8462
403,674,1,0.4077
404,412,0,0.8301
405,389,0,0.9127
406,202,0,0.8461
407,59,0,0.9039
408,913,0,0.5826
409,394,1,0.5207
410,999,1,0.5856
411,92,0,0.72
412,314,0,0.4839
413,655,0,0.6275
414,409,0,0.4541
415,790,0,0.5603
416,376,1,0.5634
417,883,0,0.9678
418,329,0,0.6813
419,686,1,0.9449
420,169,1,0.6825
421,63,0,0.9824
422,985,0,0.6084
423,52,0,0.7413
424,721,0,0.3082
425,632,0,0.4853
426,806,1,0.4968
427,858,0,0.7711
428,862,1,0.9343
429,819,0,0.4901
430,835,0,0.8165
431,374,1,0.3666
432,587,0,0.3653
433,786,0,0.3875
434,22,0,0.5813
435,343,0,0.8376
436,513,0,0.5577
437,501,0,0.9698
438,663,1,0.7887
439,181,1,0.8428
440,187,1,0.8829
441,771,0,0.868
442,173,0,0.3695
443,102,0,0.463
444,210,0,0.6725
445,124,0,0.4319
446,470,0,0.8919
447,83,1,0.8368
448,224,1,0.5387
449,738,0,0.6019
450,532,0,0.3897
451,649,0,0.6318
452,834,1,0.7386
453,150,0,0.6263
454,357,0,0.9667
455,443,0,0.7388
456,317,0,0.747
457,104,1,0.5445
458,21,0,0.9912
459,466,1,0.451
460,263,1,0.7091
461,14,0,0.7142
462,274,0,0.8026
463,312,0,0.5525
464,456,0,0.6338
465,85,0,0.9809
466,284,0,0.6201
467,729,0,0.5753
468,905,0,0.7616
469,582,0,0.912
470,18,1,0.5703
471,638,0,0.6835
472,682,0,0.8329
473,853,0,0.5322
474,218,0,0.5102
475,133,0,0.4607
476,673,1,0.8569
477,154,0,0.9737
478,363,1,0.9383
479,726,0,0.4651
480,958,0,0.7841
481,921,0,0.7609
482,830,1,0.4137
483,362,0,0.8036
484,504,0,0.6259
485,2,1,0.4251
486,375,0,0.9445
487,164,0,0.6506
488,254,0,0.9439
489,401,0,0.6668
490,323,0,0.8995
491,369,0,0.6757
492,573,0,0.3284
493,623,0,0.7995
494,631,0,0.6276
495,62,0,0.9546
496,863,0,0.5033
497,499,0,0.7949
498,503,1,0.7829
499,483,0,0.7322
500,287,0,0.6161
501,361,0,0.6917
502,206,0,0.7136
503,190,0,0.6096
504,583,0,0.8339
505,712,0,0.9186
506,267,0,0.7595
507,159,0,0.759
508,308,0,0.9615
509,240,0,0.4713
510,209,0,0.3396
511,530,0,0.9792
512,126,0,0.7202
513,447,0,0.9065
514,290,0,0.3334
515,1,0,0.5217
516,593,0,0.8985
517,639,0,0.6419
518,79,0,0.9584
519,524,0,0.7256
520,722,0,0.5093
521,720,0,0.9228
522,291,0,0.5811
523,215,0,0.6089
524,81,1,0.6262
525,371,0,0.3535
526,715,0,0.8062
527,378,0,0.5466
528,356,0,0.766
529,419,1,0.5275
530,437,1,0.7525
531,919,0,0.3633
532,917,0,0.4373
533,611,0,0.7751
534,945,0,0.3994
535,280,0,0.4685
536,49,0,0.6873
537,811,1,0.9871
538,235,0,0.5193
539,260,0,0.5695
540,987,0,0.603
541,803,1,0.7016
542,951,0,0.8599
543,156,1,0.3536
544,286,0,0.941
545,74,0,0.4957
546,857,0,0.4585
547,866,0,0.4313
548,949,0,0.6092
549,195,0,0.447
550,405,0,0.5302
551,387,0,0.046
552,848,0,0.3232
553,234,0,0.677
554,695,0,0.7182
555,33,0,0.3622
556,88,0,0.6363
557,560,0,0.4194
558,496,0,0.4199
559,281,0,0.3053
560,565,0,0.4909
561,747,0,0.4608
562,492,0,0.7414
563,485,0,0.5398
564,359,0,0.527
565,80,0,0.485
566,491,0,0.8604
567,333,1,0.8585
568,482,0,0.5597
569,75,0,0.3405
570,266,0,0.6186
571,273,0,0.4867
572,208,0,0.2646
573,69,0,0.0852
574,180,0,0.9664
575,990,0,0.4379
576,510,0,0.8684
577,859,0,0.3447
578,950,0,0.0278
579,544,0,0.1582
580,211,0,0.6539
581,659,0,0.4409
582,927,0,0.3069
583,710,0,0.1807
584,751,0,0.261
585,10,0,0.2607
586,13,0,0.2559
587,839,1,0.6544
588,808,1,0.6324
589,134,0,0.8976
590,320,1,0.4718
591,667,0,0.6564
592,278,0,0.3714
593,762,1,0.7071
594,354,0,0.7571
595,787,1,0.5096
596,972,1,0.5357
597,661,0,0.3576
598,93,0,0.4512
599,321,1,0.9637
600,142,1,0.8362
601,407,0,0.7962
602,96,1,0.9675
603,911,1,0.5766
604,687,1,0.783
605,47,0,0.5978
606,265,1,0.8352
607,390,1,0.9414
608,755,0,0.6774
609,136,0,0.2416
610,338,1,0.8738
611,923,0,0.8312
612,942,0,0.144
613,929,0,0.2355
614,37,1,0.2219
615,452,1,0.1616
616,439,1,0.2349
617,122,1,0.2152
618,641,1,0.212
619,213,1,0.2389
620,241,0,0.4661
621,764,0,0.3769
622,828,0,0.2399
623,901,0,0.623
624,887,1,0.6048
625,148,0,0.373
626,48,0,0.3731
627,73,0,0.348
628,29,0,0.5533
629,127,1,0.1496
630,99,1,0.3219
631,256,0,0.1613
632,327,0,0.2766
633,881,1,0.275
634,293,1,0.2482
635,551,0,0.2517
636,506,0,0.2629
637,410,0,0.1729
638,727,1,0.2613
639,425,0,0.284
640,488,0,0.2332
641,416,1,0.5236
642,91,1,0.0858
643,657,0,0.4695
644,57,1,0.3212
645,309,0,0.0818
646,964,0,0.1691
647,473,0,0.1921
648,11,0,0.1475
649,605,0,0.1811
650,960,0,0.0987
651,143,1,0.3313
652,877,0,0.3303
653,422,0,0.6752
654,736,0,0.2562
655,804,0,0.3005
656,311,1,0.333
657,561,0,0.561
658,238,0,0.3556
659,895,0,0.3425
660,477,0,0.1926
661,665,0,0.8768
662,42,0,0.5963
663,983,1,0.1474
664,791,0,0.0456
665,926,0,0.2706
666,24,0,0.0747
667,907,0,0.182
668,558,0,0.3958
669,782,1,0.3453
670,818,0,0.3406
671,435,0,0.3389
672,993,0,0.0167
673,658,0,0.3226
674,642,0,0.3758
675,328,1,0.1366
676,141,1,0.2287
677,577,0,0.1207
678,975,0,0.2077
679,46,0,0.0644
680,366,1,0.246
681,666,0,0.4851
682,976,0,0.0909
683,472,0,0.0499
684,906,0,0.702
685,946,0,0.251
686,541,0,0.0573
687,349,0,0.1533
688,222,0,0.0208
689,604,0,0.2925
690,386,0,0.0513
691,512,1,0.3351
692,592,0,0.1998
693,76,1,0.2298
694,697,0,0.0977
695,597,0,0.0862
696,388,0,0.4441
697,873,0,0.3566
698,516,0,0.2096
699,995,0,0.3831
700,494,0,0.3614
701,778,0,0.2094
702,476,0,0.0004
703,812,0,0.3129
704,864,0,0.351
705,595,0,0.2825
706,606,0,0.0727
707,798,0,0.286
708,160,0,0.3505
709,676,0,0.311
710,810,0,0.78
711,739,0,0.2196
712,41,0,0.7577
713,322,0,0.1185
714,766,0,0.3621
715,108,0,0.3195
716,78,0,0.255
717,539,0,0.1407
718,652,0,0.0957
719,189,0,0.9333
720,299,0,0.1263
721,633,0,0.204
722,318,0,0.5293
723,307,0,0.0787
724,306,0,0.238
725,458,0,0.0406
726,625,0,0.126
727,805,0,0.4235
728,54,0,0.1112
729,242,0,0.3831
730,992,1,0.3741
731,360,0,0.0262
732,844,0,0.1437
733,527,0,0.1966
734,956,0,0.2604
735,533,0,0.3326
736,223,0,0.5697
737,319,0,0.2723
738,27,0,0.4419
739,669,0,0.3178
740,121,0,0.1429
741,149,0,0.104
742,928,0,0.0524
743,725,0,0.2041
744,888,0,0.1691
745,575,0,0.0178
746,870,0,0.041
747,679,0,0.1975
748,370,0,0.8336
749,87,0,0.0509
750,732,0,0.2177
751,854,0,0.0731
752,570,0,0.2685
753,89,0,0.0958
754,262,0,0.6977
755,743,0,0.0313
756,339,0,0.0685
757,236,0,0.0347
758,418,0,0.3016
759,773,0,0.1738
760,933,1,0.1895
761,391,0,0.2578
762,67,0,0.4744
763,645,0,0.4882
764,203,0,0.2464
765,441,0,0.5546
766,427,0,0.0467
767,640,0,0.3482
768,264,0,0.1141
769,832,0,0.0656
770,294,0,0.6128
771,233,0,0.2988
772,772,0,0.3001
773,774,0,0.1605
774,648,0,0.2382
775,230,0,0.0997
776,800,0,0.1362
777,417,0,0.0582
778,426,0,0.0096
779,474,0,0.7
780,677,0,0.3557
781,815,0,0.2221
782,874,0,0.3826
783,918,0,0.1319
784,51,0,0.1763
785,546,0,0.361
786,514,0,0.2042
787,346,0,0.0377
788,855,0,0.3072
789,554,0,0.1201
790,103,0,0.5313
791,867,0,0.2933
792,538,0,0.1635
793,446,0,0.1363
794,116,0,0.0533
795,178,0,0.1271
796,118,0,0.3403
797,184,0,0.0596
798,498,0,0.2198
799,624,1,0.8596
800,71,0,0.3172
801,313,0,0.2375
802,179,0,0.9162
803,517,0,0.1038
804,255,0,0.0498
805,34,0,0.6423
806,484,0,0.1658
807,337,0,0.1725
808,402,0,0.0931
809,705,0,0.1848
810,759,0,0.4046
811,460,0,0.1404
812,989,0,0.2646
813,872,0,0.1653
814,753,0,0.2103
815,396,0,0.2786
816,60,0,0.0745
817,940,0,0.3194
818,66,0,0.3074
819,821,0,0.3718
820,219,0,0.5795
821,170,0,0.365
822,350,0,0.1048
823,58,0,0.3488
824,112,0,0.0542
825,342,0,0.0787
826,403,0,0.3239
827,865,0,0.3575
828,72,0,0.2453
829,248,0,0.6551
830,672,0,0.302
831,536,0,0.2043
832,598,0,0.974
833,166,0,0.0503
834,969,0,0.0572
835,486,0,0.2892
836,373,0,0.0271
837,683,0,0.3022
838,55,0,0.7713
839,301,0,0.0133
840,53,0,0.5146
841,903,0,0.0643
842,529,1,0.5418
843,258,0,0.3605
844,689,0,0.0522
845,902,0,0.2278
846,226,0,0.0088
847,688,0,0.3119
848,232,0,0.0569
849,941,1,0.0604
850,938,0,0.1523
851,607,0,0.4702
852,445,0,0.8743
853,967,0,0.6981
854,702,0,0.5574
855,3,0,0.1472
856,326,0,0.7555
857,910,0,0.0899
858,799,1,0.2121
859,566,1,0.1267
860,268,0,0.2724
861,978,0,0.2172
862,612,1,0.15
863,114,0,0.0579
864,707,0,0.1221
865,571,0,0.3513
866,617,0,0.1908
867,511,0,0.0414
868,837,0,0.7336
869,843,0,0.0572
870,634,0,0.4303
871,462,0,0.2822
872,161,1,0.0371
873,438,0,0.1573
874,716,0,0.3103
875,613,0,0.2724
876,580,0,0.3046
877,243,0,0.121
878,289,0,0.3404
879,368,0,0.3491
880,526,0,0.2558
881,698,0,0.4366
882,465,1,0.1481
883,431,1,0.4009
884,795,0,0.3263
885,646,0,0.2641
886,952,1,0.0874
887,151,0,0.3176
888,955,0,0.2139
889,56,1,0.2891
890,364,0,0.2548
891,685,0,0.0326
892,518,0,0.0436
893,457,1,0.0688
894,220,0,0.3101
895,353,0,0.251
896,204,1,0.2751
897,176,1,0.0537
898,31,1,0.3617
899,696,0,0.0474
900,840,0,0.1319
901,643,1,0.0143
902,77,1,0.1779
903,277,1,0.2823
904,490,0,0.066
905,816,0,0.0608
906,217,1,0.0156
907,842,0,0.0698
908,709,0,0.3095
909,898,1,0.6679
910,954,1,0.3532
911,8,0,0.2934
912,272,0,0.1767
913,147,1,0.4765
914,553,1,0.3464
915,68,0,0.0371
916,140,0,0.3273
917,432,0,0.1073
918,351,1,0.1833
919,94,1,0.2423
920,741,1,0.0812
921,599,0,0.2664
922,824,0,0.2287
923,5,0,0.1689
924,981,0,0.0321
925,793,0,0.3165
926,797,0,0.7454
927,196,1,0.3086
928,144,0,0.2889
929,600,0,0.1175
930,568,0,0.1738
931,601,1,0.0876
932,876,0,0.0793
933,344,1,0.0798
934,288,1,0.0216
935,135,0,0.0099
936,478,1,0.0192
937,968,1,0.0937
938,628,0,0.0038
939,471,0,0.1096
940,783,0,0.1105
941,567,0,0.0645
942,459,1,0.1099
943,324,1,0.1828
944,424,0,0.0307
945,831,0,0.0811
946,852,1,0.0813
947,449,0,0.0139
948,454,1,0.1527
949,177,0,0.0075
950,163,0,0.0427
951,779,0,0.2104
952,754,0,0.0201
953,744,1,0.0918
954,827,0,0.0794
955,304,0,0.1489
956,420,1,0.1135
957,295,0,0.0406
958,334,1,0.1587
959,25,0,0.0658
960,430,1,0.1187
961,731,0,0.0588
962,961,0,0.1357
963,199,1,0.1071
964,586,1,0.1172
965,17,1,0.007
966,894,0,0.2553
967,251,1,0.0658
968,528,1,0.0213
969,84,0,0.0539
970,20,0,0.1244
971,984,0,0.1366
972,963,1,0.1716
973,861,0,0.0296
974,335,0,0.1972
975,500,0,0.1616
976,801,1,0.063
977,97,1,0.2085
978,450,1,0.2263
979,216,0,0.2547
980,785,1,0.0233
981,555,0,0.2149
982,521,0,0.0748
983,630,0,0.2814
984,146,0,0.0744
985,175,0,0.0083
986,15,1,0.0597
987,841,0,0.0435
988,39,0,0.3086
989,735,0,0.0188
990,201,0,0.1187
991,602,1,0.1543
992,979,1,0.3029
993,891,1,0.3461
994,637,0,0.2513
995,174,1,0.2073
996,397,0,0.1028
997,845,1,0.2807
998,616,0,0.3464
999,750,0,0.2548
